<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
ROSN,D,20150826,000000,240.0000000
ROSN,D,20150827,000000,245.5000000
ROSN,D,20150828,000000,246.3500000
ROSN,D,20150831,000000,245.1000000
ROSN,D,20150901,000000,242.7000000
ROSN,D,20150902,000000,249.0000000
ROSN,D,20150903,000000,249.1500000
ROSN,D,20150904,000000,244.3500000
ROSN,D,20150907,000000,246.4000000
ROSN,D,20150908,000000,248.0500000
ROSN,D,20150909,000000,249.5000000
ROSN,D,20150910,000000,247.2000000
ROSN,D,20150911,000000,245.9000000
ROSN,D,20150914,000000,246.0000000
ROSN,D,20150915,000000,246.0000000
ROSN,D,20150916,000000,251.5000000
ROSN,D,20150917,000000,252.8500000
ROSN,D,20150918,000000,256.0000000
ROSN,D,20150921,000000,249.1000000
ROSN,D,20150922,000000,244.8000000
ROSN,D,20150923,000000,237.0000000
ROSN,D,20150924,000000,237.2500000
ROSN,D,20150925,000000,238.4000000
ROSN,D,20150928,000000,236.6500000
ROSN,D,20150929,000000,239.7000000
ROSN,D,20150930,000000,242.9500000
ROSN,D,20151001,000000,237.9000000
ROSN,D,20151002,000000,234.6000000
ROSN,D,20151005,000000,244.0000000
ROSN,D,20151006,000000,248.5000000
ROSN,D,20151007,000000,251.1500000
ROSN,D,20151008,000000,253.0000000
ROSN,D,20151009,000000,267.0000000
ROSN,D,20151012,000000,263.0000000
ROSN,D,20151013,000000,262.5000000
ROSN,D,20151014,000000,260.8500000
ROSN,D,20151015,000000,258.4000000
ROSN,D,20151016,000000,253.4000000
ROSN,D,20151019,000000,251.5000000
ROSN,D,20151020,000000,250.7500000
ROSN,D,20151021,000000,251.8000000
ROSN,D,20151022,000000,253.4000000
ROSN,D,20151023,000000,253.5000000
ROSN,D,20151026,000000,250.5000000
ROSN,D,20151027,000000,251.5000000
ROSN,D,20151028,000000,253.8000000
ROSN,D,20151029,000000,255.4500000
ROSN,D,20151030,000000,258.1000000
ROSN,D,20151102,000000,262.2000000
ROSN,D,20151103,000000,270.6500000
ROSN,D,20151105,000000,270.0000000
ROSN,D,20151106,000000,264.7500000
ROSN,D,20151109,000000,262.4000000
ROSN,D,20151110,000000,257.5500000
ROSN,D,20151111,000000,266.0000000
ROSN,D,20151112,000000,263.0500000
ROSN,D,20151113,000000,260.7000000
ROSN,D,20151116,000000,263.5000000
ROSN,D,20151117,000000,271.5000000
ROSN,D,20151118,000000,278.2000000
ROSN,D,20151119,000000,271.5000000
ROSN,D,20151120,000000,272.9000000
ROSN,D,20151123,000000,274.8000000
