"pricingdate","priceclose"
2014-01-07 00:00:00,11.880000
2014-01-08 00:00:00,11.890000
2014-01-09 00:00:00,11.780000
2014-01-10 00:00:00,12.020000
2014-01-13 00:00:00,12.050000
2014-01-14 00:00:00,12.020000
2014-01-15 00:00:00,12.170000
2014-01-16 00:00:00,12.060000
2014-01-17 00:00:00,12.050000
2014-01-20 00:00:00,12.100000
2014-01-21 00:00:00,12.160000
2014-01-22 00:00:00,12.200000
2014-01-23 00:00:00,11.870000
2014-01-24 00:00:00,11.380000
2014-01-27 00:00:00,11.270000
2014-01-28 00:00:00,11.250000
2014-01-29 00:00:00,10.930000
2014-01-30 00:00:00,10.910000
2014-01-31 00:00:00,10.820000
2014-02-03 00:00:00,10.600000
2014-02-04 00:00:00,10.750000
2014-02-05 00:00:00,10.970000
2014-02-06 00:00:00,11.250000
2014-02-07 00:00:00,11.130000
2014-02-10 00:00:00,11.030000
2014-02-11 00:00:00,11.100000
2014-02-12 00:00:00,11.220000
2014-02-13 00:00:00,11.000000
2014-02-14 00:00:00,11.130000
2014-02-17 00:00:00,11.200000
2014-02-18 00:00:00,11.070000
2014-02-19 00:00:00,10.800000
2014-02-20 00:00:00,10.700000
2014-02-21 00:00:00,10.890000
2014-02-24 00:00:00,10.795000
2014-02-25 00:00:00,10.680000
2014-02-26 00:00:00,10.410000
2014-02-27 00:00:00,10.130000
2014-02-28 00:00:00,10.310000
2014-03-03 00:00:00,8.720000
2014-03-04 00:00:00,9.329000
2014-03-05 00:00:00,9.250000
2014-03-06 00:00:00,9.179000
2014-03-07 00:00:00,9.020000
2014-03-10 00:00:00,9.000000
2014-03-11 00:00:00,8.754000
2014-03-12 00:00:00,8.259000
2014-03-13 00:00:00,8.070000
2014-03-14 00:00:00,8.150000
2014-03-17 00:00:00,8.755000
2014-03-18 00:00:00,9.295000
2014-03-19 00:00:00,9.330000
2014-03-20 00:00:00,9.000000
2014-03-21 00:00:00,8.850000
2014-03-24 00:00:00,8.850000
2014-03-25 00:00:00,9.236000
2014-03-26 00:00:00,9.418000
2014-03-27 00:00:00,9.100000
2014-03-28 00:00:00,9.150000
2014-03-31 00:00:00,9.720000
2014-04-01 00:00:00,9.720000
2014-04-02 00:00:00,9.590000
2014-04-03 00:00:00,9.471000
2014-04-04 00:00:00,9.750000
2014-04-07 00:00:00,9.290000
2014-04-08 00:00:00,9.125000
2014-04-09 00:00:00,8.995000
2014-04-10 00:00:00,9.139000
2014-04-11 00:00:00,9.029000
2014-04-14 00:00:00,8.850000
2014-04-15 00:00:00,8.435000
2014-04-16 00:00:00,8.560000
2014-04-17 00:00:00,8.720000
2014-04-22 00:00:00,8.743000
2014-04-23 00:00:00,8.660000
2014-04-24 00:00:00,8.470000
2014-04-25 00:00:00,8.050000
2014-04-28 00:00:00,8.368000
2014-04-29 00:00:00,8.388000
2014-04-30 00:00:00,8.382000
2014-05-01 00:00:00,8.451000
2014-05-02 00:00:00,8.350000
2014-05-06 00:00:00,8.625000
2014-05-07 00:00:00,9.280000
2014-05-08 00:00:00,9.405000
2014-05-09 00:00:00,9.353000
2014-05-12 00:00:00,9.370000
2014-05-13 00:00:00,9.584000
2014-05-14 00:00:00,9.783000
2014-05-15 00:00:00,9.570000
2014-05-16 00:00:00,9.435000
2014-05-19 00:00:00,9.730000
2014-05-20 00:00:00,9.950000
2014-05-21 00:00:00,10.010000
2014-05-22 00:00:00,10.005000
2014-05-23 00:00:00,10.350000
2014-05-27 00:00:00,10.220000
2014-05-28 00:00:00,10.230000
2014-05-29 00:00:00,10.215000
2014-05-30 00:00:00,10.045000
2014-06-02 00:00:00,10.175000
2014-06-03 00:00:00,10.260000
2014-06-04 00:00:00,10.420000
2014-06-05 00:00:00,10.500000
2014-06-06 00:00:00,10.750000
2014-06-09 00:00:00,10.690000
2014-06-10 00:00:00,10.745000
2014-06-11 00:00:00,10.695000
2014-06-12 00:00:00,10.630000
2014-06-13 00:00:00,10.050000
2014-06-16 00:00:00,10.100000
2014-06-17 00:00:00,9.855000
2014-06-18 00:00:00,10.010000
2014-06-19 00:00:00,10.100000
2014-06-20 00:00:00,10.005000
2014-06-23 00:00:00,10.030000
2014-06-24 00:00:00,10.560000
2014-06-25 00:00:00,10.280000
2014-06-26 00:00:00,10.240000
2014-06-27 00:00:00,10.300000
2014-06-30 00:00:00,10.130000
2014-07-01 00:00:00,10.090000
2014-07-02 00:00:00,10.270000
2014-07-03 00:00:00,10.250000
2014-07-04 00:00:00,10.070000
2014-07-07 00:00:00,10.240000
2014-07-08 00:00:00,10.175000
2014-07-09 00:00:00,10.285000
2014-07-10 00:00:00,10.125000
